Lithology/chemistry,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,SO3,P2O5,Cl,Total
Granitoid (clast in UIM),3.03,2.46,0.23,71.43,12.43,4.65,0.18,2.31,0.05,0.2,0.06,,99.35
Granitoid (clast in UIM),3.43,2.55,0.37,72.09,14.52,4.05,0.8,2.04,0.03,,0.09,,101.05
Granitoid (clast in UIM),4.87,1.72,0.28,71.75,13.76,3.76,0.97,1.83,0.02,,0.07,,100.78
Granitoid (clast in UIM),5.79,1.08,0.14,71.97,14.09,3.78,0.52,0.64,0.01,,0.02,,99.28
Granitoid (clast in UIM),3.11,0.91,0.2,75.8,11.64,4.15,0.72,1.27,0.01,0.04,0.09,,99.38
Granitoid (clast in UIM),4.56,3.12,0.17,69.08,13.81,4.62,0.64,1.18,0.03,0.12,0.08,,100.97
Granitoid,5.42,1.71,0.16,69.52,15.07,4.86,0.46,1.12,0.02,,0.05,,99.86
Granitoid,4.61,1.41,0.13,74.84,12.1,3.89,0.36,1.12,0.01,,0.04,,99.45
Granitoid (clast in LIM),3.35,1.8,0.17,71.61,13.71,4.73,0.67,1.11,0.02,,0.02,,100.5
Granitoid,2.33,1.33,0.25,73.9,13.43,5.2,0.67,1.71,0.03,,0.1,,100.19
Granitoid,2.78,1.15,0.22,74.7,13.38,5.56,0.58,1.15,0.02,,0.04,,100.49
Granitoid (clast in LIM),3.89,0.72,0.11,77.11,12.08,4.22,0.28,0.63,0.01,,0.02,,100.01
Granitoid (clast in LIM),4.6,0.76,0.14,73.6,13.39,4.47,0.44,0.89,0.03,,0.03,,99.19
Granitoid (clast in LIM),3.44,0.98,0.21,76.04,12.7,5.29,0.52,1.1,0.02,,0.03,,101.17
Granitoid (clast in LIM),2.89,1.27,0.22,72.89,14.25,6.08,0.61,1.34,0.03,,0.04,,100.81
Granitoid (clast in LIM),9.07,0.74,0.18,67.95,17.19,4.22,0.18,0.4,0.01,,0,,100.86
Granitoid (clast in LIM),4.23,0.81,0.17,73.86,13.15,4.61,0.39,0.79,0.01,,0.03,,98.85
Granitoid (clast in LIM),2.45,1.34,0.55,76.81,13.52,5.34,0.72,1.56,0.03,,0.05,,103.84
Granitoid (clast in LIM),3.35,1.04,0.21,72.03,13.38,5.37,0.59,1.28,0.02,,0.05,,98.37
Granitoid (clast in LIM),3.8,1.16,0.25,71.38,14.02,4.93,1.19,1.65,0.03,,0.05,,100.3
Granitoid (clast in LIM),3.9,0.65,0.17,75.88,12.78,4.45,0.48,0.85,0.02,,0.02,,100.94
Granitoid (clast in LIM),3.21,1.19,0.17,75.5,12.4,4.6,0.24,0.86,0.02,,0.03,,99.75
Granitoid,4.39,1.12,0.23,70.15,14.42,4.93,0.66,1.35,0.03,,0.06,,98.99
Granitoid,3.72,0.89,0.16,74.6,12.22,4.71,0.12,0.79,0.01,,0.04,,98.31