Sample,Lithology/chemistry,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,SO3,P2O5,Cl,Total,,,
90_2_48_50b,Granitoid (clast in UIM),3.03,2.46,0.23,71.43,12.43,4.65,0.18,2.31,0.05,0.2,0.06,,99.35,,,
93_2_16_17,Granitoid (clast in UIM),3.43,2.55,0.37,72.09,14.52,4.05,0.8,2.04,0.03,,0.09,,101.05,,,"*From appendix S1, de Graff et al., 2021"
94_3_36_38,Granitoid (clast in UIM),4.87,1.72,0.28,71.75,13.76,3.76,0.97,1.83,0.02,,0.07,,100.78,,,
95_2_20_22,Granitoid (clast in UIM),5.79,1.08,0.14,71.97,14.09,3.78,0.52,0.64,0.01,,0.02,,99.28,,,
95_2_89.5_91.5,Granitoid (clast in UIM),3.11,0.91,0.2,75.8,11.64,4.15,0.72,1.27,0.01,0.04,0.09,,99.38,,,
95_3_121_123,Granitoid (clast in UIM),4.56,3.12,0.17,69.08,13.81,4.62,0.64,1.18,0.03,0.12,0.08,,100.97,,,
112_2_52_54,Granitoid,5.42,1.71,0.16,69.52,15.07,4.86,0.46,1.12,0.02,,0.05,,99.86,,,
144_3_3_5,Granitoid,4.61,1.41,0.13,74.84,12.1,3.89,0.36,1.12,0.01,,0.04,,99.45,,,
191_2_93.5_95.5,Granitoid (clast in LIM),3.35,1.8,0.17,71.61,13.71,4.73,0.67,1.11,0.02,,0.02,,100.5,,,
264_1_53_55,Granitoid,2.33,1.33,0.25,73.9,13.43,5.2,0.67,1.71,0.03,,0.1,,100.19,,,
276_1 _1_65_67,Granitoid,2.78,1.15,0.22,74.7,13.38,5.56,0.58,1.15,0.02,,0.04,,100.49,,,
278_2_58_60,Granitoid (clast in LIM),3.89,0.72,0.11,77.11,12.08,4.22,0.28,0.63,0.01,,0.02,,100.01,,,
280_2_45.5_47.5,Granitoid (clast in LIM),4.6,0.76,0.14,73.6,13.39,4.47,0.44,0.89,0.03,,0.03,,99.19,,,
282_3_23_25,Granitoid (clast in LIM),3.44,0.98,0.21,76.04,12.7,5.29,0.52,1.1,0.02,,0.03,,101.17,,,
285_2_60_62,Granitoid (clast in LIM),2.89,1.27,0.22,72.89,14.25,6.08,0.61,1.34,0.03,,0.04,,100.81,,,
285_3_33_35,Granitoid (clast in LIM),9.07,0.74,0.18,67.95,17.19,4.22,0.18,0.4,0.01,,0,,100.86,,,
287_2_90_92,Granitoid (clast in LIM),4.23,0.81,0.17,73.86,13.15,4.61,0.39,0.79,0.01,,0.03,,98.85,,,
288_1_75.5_77.5,Granitoid (clast in LIM),2.45,1.34,0.55,76.81,13.52,5.34,0.72,1.56,0.03,,0.05,,103.84,,,
288_1_87_89,Granitoid (clast in LIM),3.35,1.04,0.21,72.03,13.38,5.37,0.59,1.28,0.02,,0.05,,98.37,,,
288_2_26.5_29,Granitoid (clast in LIM),3.8,1.16,0.25,71.38,14.02,4.93,1.19,1.65,0.03,,0.05,,100.3,,,
295_3_2_4,Granitoid (clast in LIM),3.9,0.65,0.17,75.88,12.78,4.45,0.48,0.85,0.02,,0.02,,100.94,,,
296_2_63_65,Granitoid (clast in LIM),3.21,1.19,0.17,75.5,12.4,4.6,0.24,0.86,0.02,,0.03,,99.75,,,
299_2_28_30,Granitoid,4.39,1.12,0.23,70.15,14.42,4.93,0.66,1.35,0.03,,0.06,,98.99,,,
303_2_43_45,Granitoid,3.72,0.89,0.16,74.6,12.22,4.71,0.12,0.79,0.01,,0.04,,98.31,,,
102_1_93.5_98.5 ,Dolerite,2.9,2.4,0.96,47.02,16.25,2.42,9.4,9.9,0.16,,0.06,,98.83,,,
135_1_98_100a,Dolerite,0.39,9.84,1.19,45.67,14.32,1.99,10.03,10.28,0.2,,0.07,,100.57,,,
135_1_98_100b,Dolerite,0.49,10.69,1.11,46.02,14.51,2,9.7,11.18,0.17,,0.11,,101.08,,,
139_1_6_8,Dolerite,0.65,5.31,1.33,45.44,15.01,2.68,11.09,12.47,0.27,,0.07,,100.96,,,
140_2_19_21,Dolerite,0.41,8.02,1.13,46.66,14.97,2.18,10.28,11.21,0.27,,0.06,,100.52,,,
144_1_19_21,Dolerite,0.54,7.84,1.26,44.25,13.6,2.42,10.05,11.95,0.22,,0.13,,98.85,,,
151_1_9_11,Dolerite,0.6,4.82,1.01,42.98,14.65,2.32,12.03,12.48,0.23,,0.07,,98.37,,,
162_1_54_56,Dolerite,0.54,5.56,1.46,44.1,13.75,2.33,11.18,11.87,0.36,,0.1,,99.57,,,
162_2_99.5_101.55,Dolerite,0.45,4.96,1.67,44.64,14.77,2.67,11.57,12.96,0.26,,0.1,,102.47,,,
169_2_97_99,Dolerite,0.95,6.82,1.43,45.54,14.47,2.94,9.16,12.29,0.21,,0.15,,99.73,,,
198_1_84_85,Dolerite,0.36,3.48,1.33,40.85,13.54,2.01,13.77,12.87,0.18,,0.09,,99.4,,,
203_1_20.5_22.5 ,Dolerite,0.25,3.18,1.83,39.34,12.77,2.25,15.56,14.23,0.2,,0.11,,101.93,,,
222_1_11_13,Dolerite,0.46,8.79,0.81,46.06,15.52,2.5,8.96,10.13,0.18,,0.06,,99.26,,,
105_2_37_39,Felsite,4.37,5.94,0.74,55.97,14.8,3.44,3.38,4.15,0.11,,0.28,,98.65,,,
234_2_101.5_106,Felsite,3.51,4.12,0.8,53.47,15.11,3.62,5.51,6.16,0.1,,0.29,,99.5,,,
236_3_28_30,Felsite,3.6,5.28,0.65,55.14,14.5,3.97,4.5,6.1,0.08,,0.38,,100.43,,,
239_1_105_107,Felsite,4.15,6.2,0.59,55.87,14.27,3.39,4.14,5.59,0.08,,0.39,,101.14,,,
164_3_14_16.5,Dacite,4.01,1.72,0.41,69.27,14.7,4.69,1,2.19,0.04,,0.11,,99.88,,,
238_2_0_2,Dacite,4.71,2.1,0.43,67.09,14.51,4.75,1.09,2.69,0.03,,0.22,,98.65,,,
247_2_21_23,Dacite,3.55,1.98,0.44,69.93,14.43,4.73,1.21,2.25,0.04,,0.1,,99.76,,,
84_3_117.5_119.5b,Limestone clast,0,50.04,0,3.17,0.31,0.08,1.85,0.55,0.55,0,0.02,,98.32,,,
86_1_9.5_11.5b,Limestone clast,0,51.75,0,1.4,0.18,0.03,1.12,0.27,0.74,0.06,0.02,,98,,,
87_2_73_75,UIM,0.73,33.49,0.27,21.12,5.11,1.4,5.07,2.79,0.07,,0.04,,100,,,
87_2_103.5_107,UIM,3.92,5.21,0.79,58.15,17.08,4.87,2.29,3.91,0.06,0.16,0.13,,99.74,,,
88_2_7_9,UIM,4.22,3.59,0.66,64.97,16.69,4.21,1.84,2.84,0.04,,0.09,,101.58,,,
89_1_57_59,UIM,3.59,10.26,0.59,53.78,13.99,3.72,3.39,4.1,0.12,,0.08,,100.38,,,
89_3_8_10,UIM,4.34,6.19,0.6,59.29,14.96,4.16,2.17,3.91,0.1,0.15,0.13,,99.54,,,
90_1_85_87,UIM,5.05,7.25,0.75,57.53,16.16,4.14,1.98,4.24,0.13,,0.1,,100.94,,,
90_2_48_50a,UIM,4.39,6.65,0.74,57.78,15.7,4.34,2.88,4.83,0.13,0.15,0.14,,101.02,,,
90_3_66_68,UIM,3.23,10.39,0.63,49.69,12.77,3.43,5.25,5.77,0.13,,0.08,,100.01,,,
91_1_44_46,UIM,4.12,6.53,0.71,56.5,15.41,4.16,3.67,5.31,0.13,0.19,0.13,,100.2,,,
91_2_87_89,UIM,5.43,7.42,0.63,57.4,15.64,4.07,1.85,3.88,0.15,,0.09,,101.26,,,
91_3_18_20,UIM,4.58,7.71,0.59,56.31,15.04,4.1,2.21,3.87,0.12,0.14,0.12,,100.19,,,
92_1_94_96,UIM,4.51,6.64,0.62,56.48,14.76,3.95,2.61,4.21,0.14,,0.09,,98.23,,,
92_3_12_16,UIM,3.49,8.58,0.49,56.16,12.8,3.86,3.9,4.53,0.11,0.15,0.12,,99.92,,,
93_1_19_21,UIM,3.9,4.08,0.61,56.87,15.49,4.25,3.26,4.51,0.09,,0.09,,97.39,,,
95_1_52_54,UIM,4.26,5.47,0.62,58.63,17.57,4.27,2.32,3.99,0.06,,0.09,,101.53,,,
95_2_54_56,UIM,3.77,4.49,0.57,61.36,15.96,4.47,2.14,3.54,0.05,0.18,0.12,,99.93,,,
95_3_55_57,UIM,3,3.88,0.58,58.5,15.99,4.69,3.2,3.8,0.04,,0.07,,98.24,,,
100_1_57_59,UIM,5.11,4.7,0.59,62.03,15.87,3.62,1.7,3.61,0.06,,0.07,,101.11,,,
100_2_89.5_91.5 ,UIM,3.16,3.47,0.34,68.65,12.77,4.06,1.54,2.48,0.07,,0.04,,100.81,,,
192_1_56_58,LIMB,3.02,2.61,0.35,64.56,13.63,3.8,3.78,4.54,0.05,,0.07,,100.95,,,
194_3_19_21,LIMB,1.31,1.98,1.15,47.42,13.98,2.91,10.36,10.68,0.15,,0.08,,99,,,
263_1_15_17,LIMB,2.27,1.66,0.48,58.22,14.29,3.93,6.91,6.95,0.07,,0.07,,100.5,,,
267_3_49_51,LIMB,4.52,1.44,0.32,65.25,14.42,4.17,3,3.55,0.07,,0.07,,99.59,,,
273_2_78_80,LIMB,2.26,2.07,0.67,60.03,14.88,4.76,4.45,5.76,0.13,,0.13,,98.86,,,
279_2_54.5_56.5,LIMB,2.55,2.36,0.6,64.66,14.84,4.75,2.95,5.21,0.15,,0.13,,101.27,,,
281_2_50_52,LIMB,3.46,1.48,0.35,69.97,13.26,4.59,2.29,3.53,0.06,,0.08,,101.21,,,
282_1_80_82,LIMB,3.55,1.24,0.44,69.45,12.83,4.07,2.51,3.63,0.06,,0.09,,99.96,,,
283_2_46_48,LIMB,2.51,1.89,0.54,60.37,14.58,4.68,5.08,6.03,0.08,,0.1,,100.29,,,
290_2_0_2,LIMB,2.19,2.64,0.76,62.36,14.17,4.62,3.88,5.51,0.19,,0.11,,99.62,,,
293_1_49_52,LIMB,1.68,1.95,0.55,65.78,13.89,5.28,3.03,5.01,0.14,,0.17,,100,,,
293_3_0_3,LIMB,1.05,6.12,1.4,43.97,16.02,2.72,9.41,11.82,0.31,,0.13,,99.27,,,
303_3_17.5_19.5,LIMB,3.19,1.82,0.62,61.75,14.34,4.75,4.09,5.78,0.19,,0.12,,100.09,,,